epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,20511.8,0.37638,0.51615,0.99863,0.94464,0.87535,0.96674,0.90305,0.33438,0.44097,0.9607,0.000580174,0.000580174,0.000580174
62,20879.3,0.36063,0.54669,0.97347,0.81516,0.9499,0.9402,0.88136,0.31926,0.55447,0.94404,0.000566027,0.000566027,0.000566027
63,21253,0.37735,0.52811,1.00719,0.89034,0.89003,0.95889,0.88597,0.32994,0.52918,0.9645,0.00055188,0.00055188,0.00055188
64,21610.1,0.38889,0.5177,1.0022,0.90631,0.93685,0.9697,0.91429,0.33593,0.44296,0.95839,0.000537733,0.000537733,0.000537733
65,21979.7,0.36762,0.51612,0.99588,0.95185,0.9026,0.97581,0.91912,0.32457,0.39598,0.94677,0.000523586,0.000523586,0.000523586
66,22370.7,0.36496,0.47503,0.98493,0.9242,0.92623,0.974,0.91037,0.35579,0.4052,0.99694,0.000509438,0.000509438,0.000509438
67,22753.5,0.36249,0.518,0.99355,0.92733,0.90848,0.97078,0.90723,0.33983,0.43513,0.97545,0.000495291,0.000495291,0.000495291
68,23095.8,0.36245,0.49082,0.97846,0.93793,0.96308,0.97126,0.91973,0.3245,0.40037,0.96514,0.000481144,0.000481144,0.000481144
69,23433.7,0.35988,0.4937,0.98456,0.91781,0.93995,0.96541,0.9032,0.32327,0.41838,0.97563,0.000466997,0.000466997,0.000466997
70,23777.7,0.33422,0.50204,0.96427,0.8915,0.98889,0.97929,0.91731,0.31489,0.36471,0.99584,0.00045285,0.00045285,0.00045285
71,24132.3,0.37296,0.52841,0.9938,0.92189,0.93601,0.97892,0.90949,0.33644,0.3938,0.99643,0.000438703,0.000438703,0.000438703
72,24447.6,0.35576,0.46208,0.98779,0.91939,0.96347,0.98345,0.93247,0.31134,0.36762,0.9489,0.000424556,0.000424556,0.000424556
73,24813.9,0.36495,0.44947,0.99324,0.93879,0.97247,0.98789,0.92299,0.34021,0.36538,0.9816,0.000410409,0.000410409,0.000410409
74,25182.3,0.35185,0.45016,0.99616,0.92797,0.94202,0.97521,0.90768,0.33462,0.40296,0.99663,0.000396262,0.000396262,0.000396262
75,25516.2,0.32261,0.45761,0.97099,0.93994,0.90949,0.96379,0.90374,0.31986,0.44491,0.9679,0.000382115,0.000382115,0.000382115
76,25861,0.33429,0.42986,0.97554,0.94541,0.97275,0.97916,0.91777,0.31902,0.35033,0.97433,0.000367967,0.000367967,0.000367967
77,26207.9,0.33321,0.43387,0.97459,0.9583,0.9211,0.97752,0.91257,0.31092,0.36776,0.97077,0.00035382,0.00035382,0.00035382
78,26567,0.35498,0.43215,0.98337,0.92749,0.94151,0.97902,0.92455,0.30829,0.35711,0.95185,0.000339673,0.000339673,0.000339673
79,26914.4,0.32414,0.41998,0.95626,0.88564,0.90922,0.97124,0.91689,0.30559,0.44624,0.92862,0.000325526,0.000325526,0.000325526
80,27242.8,0.33276,0.42403,0.98091,0.93768,0.93629,0.96887,0.91574,0.29895,0.40027,0.93225,0.000311379,0.000311379,0.000311379
81,27569.1,0.34003,0.40706,0.96431,0.93611,0.96441,0.97673,0.92007,0.30249,0.34402,0.952,0.000297232,0.000297232,0.000297232
